ID,Cycle,value,Sample,SiteID,Site,Region,Island,CTUM_cover,Notes,Filtration,Exposure,Method,Depth_m,PlateID,Project,Plate,Threshold,E,Primer
CT1138,3,22.5938765,,EB,H02,EB,Control,,Control,Active,,,,A1,Compare,10,2567,2.03,CT_v1
CT1138,3,22.5938765,,EB,H02,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,28,7.991578451,,EB,H02,EB,Control,,Control,Active,,,,A1,Compare,10,2567,2.03,CT_v1
CT1138,28,7.991578451,,EB,H02,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,15,-17.29392169,,EB,H02,EB,Control,,Control,Active,,,,A1,Compare,10,2567,2.03,CT_v1
CT1138,15,-17.29392169,,EB,H02,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,11,-9.747808878,,EB,H02,EB,Control,,Control,Active,,,,A1,Compare,10,2567,2.03,CT_v1
CT1138,11,-9.747808878,,EB,H02,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,18,-8.067646355,,EB,H02,EB,Control,,Control,Active,,,,A1,Compare,10,2567,2.03,CT_v1
CT1138,18,-8.067646355,,EB,H02,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,23,-6.966165196,,EB,H02,EB,Control,,Control,Active,,,,A1,Compare,10,2567,2.03,CT_v1
CT1138,23,-6.966165196,,EB,H02,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,6,2.759556847,,EB,H02,EB,Control,,Control,Active,,,,A1,Compare,10,2567,2.03,CT_v1
CT1138,6,2.759556847,,EB,H02,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,14,-18.68187531,,EB,H02,EB,Control,,Control,Active,,,,A1,Compare,10,2567,2.03,CT_v1
CT1138,14,-18.68187531,,EB,H02,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,16,-12.05317123,,EB,H02,EB,Control,,Control,Active,,,,A1,Compare,10,2567,2.03,CT_v1
CT1138,16,-12.05317123,,EB,H02,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,27,-1.048841396,,EB,H02,EB,Control,,Control,Active,,,,A1,Compare,10,2567,2.03,CT_v1
CT1138,27,-1.048841396,,EB,H02,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
