ID,Cycle,value,SampleID,Sample,Site,Region,Island,CTUM_cover,Notes,Filtration,Exposure,Method,Depth_m,PlateID,Project,Plate,Threshold,E,Primer
CT1210,1,158.6670761,CTUM1,,Standard,Standard,Control,,Control,,,,,G1,Compare,10,2567,2.03,CT_v1
CT1211,1,133.3402052,CTUM1,,Standard,Standard,Control,,Control,,,,,G2,Compare,10,2567,2.03,CT_v1
CT1212,1,242.505419,CTUM1,,Standard,Standard,Control,,Control,,,,,G3,Compare,10,2567,2.03,CT_v1
CT1303,1,146.1736581,CTUM1,,Standard,Standard,Control,,Control,,,,,F10,Compare,11,2144,2.137,CT_v1
CT1304,1,187.2511559,CTUM1,,Standard,Standard,Control,,Control,,,,,F11,Compare,11,2144,2.137,CT_v1
CT1305,1,210.2837659,CTUM1,,Standard,Standard,Control,,Control,,,,,F12,Compare,11,2144,2.137,CT_v1
CT1210,2,174.8262768,CTUM1,,Standard,Standard,Control,,Control,,,,,G1,Compare,10,2567,2.03,CT_v1
CT1211,2,151.9591654,CTUM1,,Standard,Standard,Control,,Control,,,,,G2,Compare,10,2567,2.03,CT_v1
CT1212,2,263.7675657,CTUM1,,Standard,Standard,Control,,Control,,,,,G3,Compare,10,2567,2.03,CT_v1
CT1303,2,162.8869241,CTUM1,,Standard,Standard,Control,,Control,,,,,F10,Compare,11,2144,2.137,CT_v1
CT1304,2,201.8852853,CTUM1,,Standard,Standard,Control,,Control,,,,,F11,Compare,11,2144,2.137,CT_v1
CT1305,2,216.5432385,CTUM1,,Standard,Standard,Control,,Control,,,,,F12,Compare,11,2144,2.137,CT_v1
CT1210,3,216.9161954,CTUM1,,Standard,Standard,Control,,Control,,,,,G1,Compare,10,2567,2.03,CT_v1
CT1211,3,187.2514788,CTUM1,,Standard,Standard,Control,,Control,,,,,G2,Compare,10,2567,2.03,CT_v1
CT1212,3,300.9785058,CTUM1,,Standard,Standard,Control,,Control,,,,,G3,Compare,10,2567,2.03,CT_v1
CT1303,3,199.1638058,CTUM1,,Standard,Standard,Control,,Control,,,,,F10,Compare,11,2144,2.137,CT_v1
CT1304,3,226.92134,CTUM1,,Standard,Standard,Control,,Control,,,,,F11,Compare,11,2144,2.137,CT_v1
CT1305,3,246.2338163,CTUM1,,Standard,Standard,Control,,Control,,,,,F12,Compare,11,2144,2.137,CT_v1
CT1210,4,289.2215939,CTUM1,,Standard,Standard,Control,,Control,,,,,G1,Compare,10,2567,2.03,CT_v1
CT1211,4,249.6686385,CTUM1,,Standard,Standard,Control,,Control,,,,,G2,Compare,10,2567,2.03,CT_v1
CT1212,4,365.9998367,CTUM1,,Standard,Standard,Control,,Control,,,,,G3,Compare,10,2567,2.03,CT_v1
CT1303,4,265.551741,CTUM1,,Standard,Standard,Control,,Control,,,,,F10,Compare,11,2144,2.137,CT_v1
CT1304,4,282.5534665,CTUM1,,Standard,Standard,Control,,Control,,,,,F11,Compare,11,2144,2.137,CT_v1
CT1305,4,302.9043221,CTUM1,,Standard,Standard,Control,,Control,,,,,F12,Compare,11,2144,2.137,CT_v1
CT1210,5,430.5855939,CTUM1,,Standard,Standard,Control,,Control,,,,,G1,Compare,10,2567,2.03,CT_v1
CT1211,5,367.1940048,CTUM1,,Standard,Standard,Control,,Control,,,,,G2,Compare,10,2567,2.03,CT_v1
CT1212,5,494.5698755,CTUM1,,Standard,Standard,Control,,Control,,,,,G3,Compare,10,2567,2.03,CT_v1
CT1303,5,397.7642828,CTUM1,,Standard,Standard,Control,,Control,,,,,F10,Compare,11,2144,2.137,CT_v1
CT1304,5,374.2005693,CTUM1,,Standard,Standard,Control,,Control,,,,,F11,Compare,11,2144,2.137,CT_v1
CT1305,5,405.3082073,CTUM1,,Standard,Standard,Control,,Control,,,,,F12,Compare,11,2144,2.137,CT_v1
CT1210,6,689.0785461,CTUM1,,Standard,Standard,Control,,Control,,,,,G1,Compare,10,2567,2.03,CT_v1
CT1211,6,593.9445943,CTUM1,,Standard,Standard,Control,,Control,,,,,G2,Compare,10,2567,2.03,CT_v1
CT1212,6,740.1376143,CTUM1,,Standard,Standard,Control,,Control,,,,,G3,Compare,10,2567,2.03,CT_v1
CT1303,6,642.9385976,CTUM1,,Standard,Standard,Control,,Control,,,,,F10,Compare,11,2144,2.137,CT_v1
CT1304,6,560.5875546,CTUM1,,Standard,Standard,Control,,Control,,,,,F11,Compare,11,2144,2.137,CT_v1
CT1305,6,608.2087437,CTUM1,,Standard,Standard,Control,,Control,,,,,F12,Compare,11,2144,2.137,CT_v1
