ID,Cycle,value,SampleID,Sample,Site,Region,Island,CTUM_cover,Notes,Filtration,Exposure,Method,Depth_m,PlateID,Project,Plate,Threshold,E,Primer
CT1138,5,12.26060692,KUR2C,,EB,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,6,2.759556847,KUR2C,,EB,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,15,-17.29392169,KUR2C,,EB,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,7,-5.030276784,KUR2C,,EB,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,,,KUR2C,,EB,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,9,-11.01203479,KUR2C,,EB,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,26,-10.6397066,KUR2C,,EB,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,16,-12.05317123,KUR2C,,EB,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,24,-7.024486502,KUR2C,,EB,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,25,-14.67086617,KUR2C,,EB,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,10,-6.152829201,KUR2C,,EB,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,8,-4.747034229,KUR2C,,EB,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,21,-11.84703662,KUR2C,,EB,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,13,-18.10879809,KUR2C,,EB,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,2,38.81153174,KUR2C,,EB,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,19,-12.87459855,KUR2C,,EB,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,20,-18.17743636,KUR2C,,EB,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,27,-1.048841396,KUR2C,,EB,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,18,-8.067646355,KUR2C,,EB,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,12,-12.82993558,KUR2C,,EB,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,3,22.5938765,KUR2C,,EB,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,11,-9.747808878,KUR2C,,EB,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,22,-2.555847717,KUR2C,,EB,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,30,32.28003404,KUR2C,,EB,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,23,-6.966165196,KUR2C,,EB,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,17,-17.34374447,KUR2C,,EB,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,14,-18.68187531,KUR2C,,EB,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,28,7.991578451,KUR2C,,EB,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,4,12.8844584,KUR2C,,EB,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,29,13.03567381,KUR2C,,EB,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1138,1,83.18321132,KUR2C,,EB,EB,Control,,Control,Active,,,,A1,Passive,10,2567,2.03,CT_v1
CT1139,26,-10.41277289,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,5,2.881214441,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,2,18.78148096,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,6,-3.932264806,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,10,-4.02968653,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,11,-6.60666501,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,,,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,8,-8.378350258,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,1,41.37321179,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,21,-14.98289448,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,14,-9.135391963,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,7,-0.764717677,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,18,-5.61609359,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,19,-10.64275195,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,15,-11.04444106,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,3,10.02467235,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,23,-11.30266519,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,20,-6.144946704,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,17,-11.75572285,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,29,11.12116629,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,4,5.749568297,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,16,-11.03140657,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,13,-8.93652921,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,25,-16.05274477,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,27,-3.748161004,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,24,-11.77764073,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,28,-2.238656357,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,30,29.18572373,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,12,-8.8436159,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,22,-9.750791395,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1139,9,-7.301166282,KUR2C,,EB,EB,Control,,Control,Active,,,,A2,Passive,10,2567,2.03,CT_v1
CT1140,16,-10.9235908,KUR2C,,EB,EB,Control,,Control,Active,,,,A3,Passive,10,2567,2.03,CT_v1
CT1140,24,-5.72062338,KUR2C,,EB,EB,Control,,Control,Active,,,,A3,Passive,10,2567,2.03,CT_v1
