ID,Cycle,value,SampleID,Sample,Site,Region,Island,CTUM_cover,Notes,Filtration,Exposure,Method,Depth_m,PlateID,Project,Plate,Threshold,E,Primer
P0001,22,25.78522364,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A1,Passive,1,1479,2.101,CT_v1
P0001,,,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A1,Passive,1,1479,2.101,CT_v1
P0001,26,436.2112453,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A1,Passive,1,1479,2.101,CT_v1
P0001,9,5.214399006,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A1,Passive,1,1479,2.101,CT_v1
P0001,3,2.160305682,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A1,Passive,1,1479,2.101,CT_v1
P0001,17,-1.130155944,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A1,Passive,1,1479,2.101,CT_v1
P0001,7,-0.721473383,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A1,Passive,1,1479,2.101,CT_v1
P0001,12,2.026401647,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A1,Passive,1,1479,2.101,CT_v1
P0001,27,833.5216604,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A1,Passive,1,1479,2.101,CT_v1
P0001,30,4312.315104,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A1,Passive,1,1479,2.101,CT_v1
P0001,13,-2.994601586,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A1,Passive,1,1479,2.101,CT_v1
P0001,4,2.123222181,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A1,Passive,1,1479,2.101,CT_v1
P0001,10,-0.450660911,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A1,Passive,1,1479,2.101,CT_v1
P0001,6,2.443803962,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A1,Passive,1,1479,2.101,CT_v1
P0001,20,1.823177417,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A1,Passive,1,1479,2.101,CT_v1
P0001,2,2.61851797,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A1,Passive,1,1479,2.101,CT_v1
P0001,14,-1.295293787,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A1,Passive,1,1479,2.101,CT_v1
P0001,1,10.83331131,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A1,Passive,1,1479,2.101,CT_v1
P0001,18,-3.270777156,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A1,Passive,1,1479,2.101,CT_v1
P0001,5,2.494337629,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A1,Passive,1,1479,2.101,CT_v1
P0001,21,10.76699624,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A1,Passive,1,1479,2.101,CT_v1
P0001,25,219.8579265,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A1,Passive,1,1479,2.101,CT_v1
P0001,11,-0.869107156,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A1,Passive,1,1479,2.101,CT_v1
P0001,24,112.4416097,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A1,Passive,1,1479,2.101,CT_v1
P0001,28,1551.596137,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A1,Passive,1,1479,2.101,CT_v1
P0001,16,-1.172119788,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A1,Passive,1,1479,2.101,CT_v1
P0001,29,2713.224392,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A1,Passive,1,1479,2.101,CT_v1
P0001,8,0.858954345,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A1,Passive,1,1479,2.101,CT_v1
P0001,15,-3.186086364,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A1,Passive,1,1479,2.101,CT_v1
P0001,19,2.267416979,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A1,Passive,1,1479,2.101,CT_v1
P0001,23,55.62320127,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A1,Passive,1,1479,2.101,CT_v1
P0002,9,3.954200249,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A2,Passive,1,1479,2.101,CT_v1
P0002,12,0.278342145,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A2,Passive,1,1479,2.101,CT_v1
P0002,3,3.63854224,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A2,Passive,1,1479,2.101,CT_v1
P0002,25,169.5541144,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A2,Passive,1,1479,2.101,CT_v1
P0002,4,2.728713664,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A2,Passive,1,1479,2.101,CT_v1
P0002,30,3367.455735,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A2,Passive,1,1479,2.101,CT_v1
P0002,17,-0.982554387,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A2,Passive,1,1479,2.101,CT_v1
P0002,2,10.04511431,K02A1,1,K02,PMNM,Kuaihelani,1,MCE,Passive,15,Cotton/Buoy,3.6576,A2,Passive,1,1479,2.101,CT_v1
